epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,924.134,1.88336,1.22499,1.55648,0.80707,0.66622,0.76017,0.333,1.95263,1.28278,1.67904,0.00132043,0.00132043,0.00132043
44,946.105,1.8858,1.26467,1.54097,0.73353,0.56355,0.65115,0.26336,2.11354,1.40902,1.7745,0.00131218,0.00131218,0.00131218
45,966.474,1.86576,1.21808,1.55776,0.78372,0.65697,0.7593,0.31189,1.98506,1.28461,1.69074,0.00130393,0.00130393,0.00130393
46,988.536,1.92693,1.24455,1.54995,0.76144,0.60611,0.71742,0.30926,2.00775,1.30726,1.70744,0.00129568,0.00129568,0.00129568
47,1009.26,1.89066,1.22276,1.54146,0.86034,0.65697,0.76607,0.34596,1.94269,1.23686,1.66557,0.00128742,0.00128742,0.00128742
48,1030.61,1.87087,1.19017,1.52641,0.82908,0.64931,0.74473,0.34083,1.9533,1.2039,1.67122,0.00127917,0.00127917,0.00127917
49,1052.88,1.89737,1.21938,1.54199,0.74506,0.63859,0.70764,0.2971,2.03712,1.31691,1.73026,0.00127092,0.00127092,0.00127092
50,1073.22,1.90194,1.2153,1.51946,0.80254,0.61562,0.71667,0.30447,1.97976,1.30225,1.67826,0.00126267,0.00126267,0.00126267
51,1094.92,1.86037,1.18235,1.51394,0.83773,0.65391,0.77081,0.34881,1.90869,1.19623,1.63351,0.00125442,0.00125442,0.00125442
52,1115.75,1.87282,1.16798,1.52694,0.82744,0.66821,0.75949,0.34288,1.94901,1.23556,1.66159,0.00124617,0.00124617,0.00124617
53,1137.42,1.82913,1.16398,1.48816,0.79507,0.66542,0.74809,0.32032,2.0182,1.21398,1.71181,0.00123791,0.00123791,0.00123791
54,1159.19,1.86197,1.18241,1.52473,0.86216,0.67075,0.78449,0.35846,1.91575,1.18949,1.63818,0.00122966,0.00122966,0.00122966
55,1180.32,1.85676,1.18213,1.51211,0.6839,0.45176,0.51709,0.22308,2.14991,1.75957,1.84388,0.00122141,0.00122141,0.00122141
56,1201.84,1.84397,1.14184,1.4991,0.79668,0.68147,0.77279,0.35418,1.90618,1.1739,1.63732,0.00121316,0.00121316,0.00121316
57,1222.89,1.83406,1.16132,1.51583,0.80764,0.68147,0.76684,0.35474,1.89925,1.19746,1.63171,0.00120491,0.00120491,0.00120491
58,1243.07,1.86518,1.18743,1.50784,0.80778,0.6371,0.74521,0.33694,1.91645,1.26167,1.63444,0.00119666,0.00119666,0.00119666
59,1264.71,1.82491,1.15128,1.51031,0.75937,0.6049,0.69642,0.30304,1.9692,1.30211,1.6842,0.0011884,0.0011884,0.0011884
60,1285.34,1.82435,1.16102,1.48495,0.8181,0.71631,0.7963,0.36087,1.89261,1.13223,1.63158,0.00118015,0.00118015,0.00118015
61,1307.71,1.78612,1.11321,1.4831,0.82098,0.69372,0.78921,0.36636,1.90494,1.15327,1.63935,0.0011719,0.0011719,0.0011719
62,1328.99,1.82775,1.15153,1.4781,0.76004,0.64511,0.74117,0.32253,1.98964,1.26207,1.66209,0.00116365,0.00116365,0.00116365
63,1349.99,1.79806,1.13516,1.49269,0.79822,0.68913,0.76637,0.33655,1.95535,1.16314,1.6466,0.0011554,0.0011554,0.0011554
64,1372.03,1.79683,1.14817,1.52013,0.73154,0.64472,0.71209,0.31556,1.98888,1.24481,1.68712,0.00114715,0.00114715,0.00114715
65,1391.79,1.84135,1.15472,1.50322,0.8247,0.69884,0.80158,0.36948,1.85947,1.15757,1.60231,0.00113889,0.00113889,0.00113889
66,1413.04,1.78179,1.11658,1.47717,0.80174,0.69372,0.76101,0.35435,1.88079,1.17841,1.62069,0.00113064,0.00113064,0.00113064
67,1434.5,1.78185,1.10646,1.48771,0.59068,0.40735,0.44622,0.1894,2.22827,1.77791,1.89037,0.00112239,0.00112239,0.00112239
68,1454.51,1.77927,1.11651,1.4743,0.83848,0.69957,0.79511,0.36654,1.88543,1.12218,1.60815,0.00111414,0.00111414,0.00111414
69,1476.66,1.81889,1.10077,1.48006,0.84748,0.72329,0.8147,0.38069,1.83034,1.10929,1.5865,0.00110589,0.00110589,0.00110589
70,1497.88,1.78037,1.07817,1.46153,0.82832,0.70444,0.79552,0.36228,1.8864,1.11059,1.6323,0.00109764,0.00109764,0.00109764
71,1518.68,1.78759,1.09301,1.47482,0.81698,0.67675,0.78236,0.34727,1.93331,1.14307,1.66931,0.00108938,0.00108938,0.00108938
72,1539.94,1.83575,1.16076,1.47801,0.80494,0.70148,0.7648,0.33542,1.96072,1.21886,1.67133,0.00108113,0.00108113,0.00108113
73,1560,1.80048,1.1047,1.48538,0.81068,0.72129,0.79733,0.36451,1.8739,1.16896,1.61057,0.00107288,0.00107288,0.00107288
74,1581.58,1.79767,1.10859,1.45774,0.86206,0.69985,0.80308,0.36533,1.88177,1.12638,1.61196,0.00106463,0.00106463,0.00106463
75,1603.33,1.76337,1.07699,1.45492,0.81754,0.70673,0.79525,0.34574,1.94993,1.16396,1.64902,0.00105638,0.00105638,0.00105638
76,1623.57,1.76682,1.09897,1.4624,0.82478,0.72894,0.80865,0.37336,1.85644,1.12067,1.58437,0.00104813,0.00104813,0.00104813
77,1645.09,1.76716,1.10442,1.45588,0.80876,0.69525,0.77404,0.35304,1.90433,1.17547,1.64681,0.00103987,0.00103987,0.00103987
78,1665.83,1.78998,1.11623,1.46429,0.85128,0.69525,0.7948,0.37029,1.86671,1.13264,1.60153,0.00103162,0.00103162,0.00103162
79,1687.24,1.74893,1.07873,1.44418,0.80749,0.66804,0.76323,0.34067,1.97744,1.22535,1.6726,0.00102337,0.00102337,0.00102337
80,1708.67,1.73923,1.05286,1.44104,0.82405,0.73813,0.81233,0.37392,1.84585,1.11828,1.58965,0.00101512,0.00101512,0.00101512
81,1728.81,1.72505,1.06788,1.41145,0.77064,0.65697,0.73492,0.31119,2.01093,1.23941,1.71864,0.00100687,0.00100687,0.00100687
82,1750.78,1.74976,1.06838,1.45806,0.8713,0.74644,0.82398,0.38367,1.86349,1.09294,1.59386,0.000998616,0.000998616,0.000998616
83,1771.72,1.74169,1.04593,1.43699,0.79483,0.73563,0.78338,0.35003,1.93748,1.08076,1.64884,0.000990365,0.000990365,0.000990365
84,1793.31,1.75972,1.05948,1.4578,0.82415,0.69617,0.79105,0.36411,1.89048,1.16624,1.61952,0.000982113,0.000982113,0.000982113
85,1814.54,1.73355,1.03543,1.43661,0.83867,0.75191,0.82745,0.37406,1.87893,1.08105,1.59476,0.000973861,0.000973861,0.000973861
86,1834.64,1.73296,1.04681,1.432,0.86659,0.75345,0.82995,0.39183,1.83081,1.07072,1.57909,0.00096561,0.00096561,0.00096561
87,1857.57,1.77697,1.04207,1.45913,0.86988,0.74426,0.83175,0.38181,1.88694,1.06707,1.61495,0.000957358,0.000957358,0.000957358
88,1877.79,1.73216,1.03188,1.42376,0.86401,0.72588,0.80807,0.37563,1.87575,1.08792,1.62692,0.000949106,0.000949106,0.000949106
89,1897.52,1.72262,1.04273,1.43558,0.8081,0.67713,0.7599,0.34289,1.93536,1.17837,1.65819,0.000940855,0.000940855,0.000940855
90,1919.46,1.72145,1.01533,1.41189,0.79907,0.69426,0.76052,0.34587,1.92998,1.14567,1.63216,0.000932603,0.000932603,0.000932603
91,1939.26,1.72209,1.04349,1.42163,0.84211,0.74325,0.81984,0.37827,1.89033,1.09363,1.61107,0.000924352,0.000924352,0.000924352
92,1960.43,1.72058,1.01211,1.41619,0.79607,0.68913,0.76231,0.34855,1.90185,1.16569,1.65367,0.0009161,0.0009161,0.0009161
93,1981.89,1.73096,1.03055,1.44845,0.80685,0.72928,0.8049,0.37134,1.85528,1.10515,1.61896,0.000907848,0.000907848,0.000907848
94,2002.44,1.72022,1.02952,1.43188,0.81488,0.74426,0.79957,0.37191,1.88923,1.07786,1.62748,0.000899597,0.000899597,0.000899597
95,2023.97,1.7193,1.02401,1.41936,0.84743,0.73151,0.79823,0.36553,1.892,1.10411,1.62444,0.000891345,0.000891345,0.000891345
96,2045.16,1.70533,1.01471,1.43515,0.88347,0.70825,0.82233,0.36711,1.88857,1.11898,1.60743,0.000883093,0.000883093,0.000883093
97,2065.5,1.70036,1.00193,1.4109,0.82816,0.74426,0.81517,0.38171,1.86889,1.06592,1.59341,0.000874842,0.000874842,0.000874842
