epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,3739.54,1.46786,0.77616,1.26684,0.89478,0.81164,0.86017,0.40981,1.80844,0.89787,1.59531,0.00021471,0.00021471,0.00021471
178,3759,1.47339,0.81008,1.29151,0.87005,0.78952,0.84512,0.40527,1.81247,0.90543,1.60047,0.000206458,0.000206458,0.000206458
179,3780.15,1.44819,0.78202,1.27024,0.88305,0.80092,0.85857,0.41555,1.81296,0.88925,1.60627,0.000198206,0.000198206,0.000198206
180,3801.45,1.45855,0.76979,1.26368,0.87703,0.80551,0.86178,0.41176,1.81177,0.88489,1.60832,0.000189955,0.000189955,0.000189955
181,3821.53,1.46203,0.78164,1.27975,0.88262,0.79451,0.86043,0.40901,1.82629,0.8761,1.61717,0.000181703,0.000181703,0.000181703
182,3843.39,1.44409,0.78372,1.26709,0.88189,0.80038,0.85739,0.40863,1.8105,0.88206,1.60426,0.000173451,0.000173451,0.000173451
183,3863.39,1.43878,0.76924,1.26927,0.8818,0.79974,0.85788,0.40873,1.81013,0.89117,1.60823,0.0001652,0.0001652,0.0001652
184,3884.4,1.43547,0.7666,1.26035,0.87864,0.80704,0.86248,0.41082,1.80581,0.88601,1.609,0.000156948,0.000156948,0.000156948
185,3905.7,1.42007,0.75283,1.26512,0.88209,0.80194,0.8609,0.40705,1.81603,0.87322,1.60879,0.000148696,0.000148696,0.000148696
186,3925.49,1.44451,0.78388,1.27543,0.89311,0.80608,0.86874,0.41368,1.80714,0.86311,1.5963,0.000140445,0.000140445,0.000140445
187,3947.25,1.45128,0.7814,1.27962,0.8824,0.81581,0.86448,0.41616,1.8027,0.8685,1.59814,0.000132193,0.000132193,0.000132193
188,3967.45,1.42332,0.76271,1.26003,0.88631,0.80245,0.86537,0.41478,1.80191,0.88077,1.60432,0.000123941,0.000123941,0.000123941
189,3987.32,1.42656,0.77372,1.25956,0.89514,0.80551,0.87406,0.41031,1.80569,0.86304,1.6059,0.00011569,0.00011569,0.00011569
190,4008.83,1.42486,0.76369,1.26703,0.89486,0.79939,0.86504,0.41297,1.81632,0.86926,1.61028,0.000107438,0.000107438,0.000107438
191,4031.75,1.43309,0.74071,1.28387,0.88304,0.80092,0.85905,0.41268,1.81435,0.86618,1.60887,9.91865e-05,9.91865e-05,9.91865e-05
192,4052.54,1.40784,0.73112,1.26853,0.88816,0.80267,0.86367,0.41308,1.81574,0.87132,1.6178,9.09349e-05,9.09349e-05,9.09349e-05
193,4071.67,1.40563,0.72509,1.2863,0.88048,0.80102,0.85686,0.41784,1.80215,0.86428,1.61099,8.26832e-05,8.26832e-05,8.26832e-05
194,4091.88,1.36388,0.70408,1.25823,0.89329,0.81011,0.86388,0.41413,1.8059,0.86356,1.61332,7.44316e-05,7.44316e-05,7.44316e-05
195,4113.01,1.37244,0.70946,1.25132,0.88804,0.80858,0.86444,0.41807,1.80607,0.86492,1.61633,6.61799e-05,6.61799e-05,6.61799e-05
196,4133.37,1.39803,0.71645,1.27899,0.89268,0.8025,0.86146,0.41056,1.82251,0.85813,1.63278,5.79283e-05,5.79283e-05,5.79283e-05
197,4152.84,1.37815,0.7197,1.27426,0.88726,0.80704,0.86364,0.41702,1.81693,0.85952,1.62872,4.96766e-05,4.96766e-05,4.96766e-05
198,4172.64,1.37109,0.70383,1.26885,0.89836,0.80551,0.86721,0.41355,1.82226,0.85923,1.63843,4.1425e-05,4.1425e-05,4.1425e-05
199,4191.65,1.35884,0.70614,1.25661,0.88983,0.80396,0.86347,0.41554,1.8171,0.8602,1.63413,3.31733e-05,3.31733e-05,3.31733e-05
200,4210.59,1.36791,0.69642,1.24716,0.89944,0.80818,0.86739,0.41456,1.81261,0.85591,1.62997,2.49217e-05,2.49217e-05,2.49217e-05
